brand,disc_price,discount,original_price,rating,return_policy,review,std_deliver_fee,title
No Brand,৳ 207,-44%,৳ 370,4 Ratings,7 Day Return,2 Answered Questions,৳ 66,Readymade Stylish Fashionable Hot Kurti Kamiz For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop BT-50
No Brand,৳ 599,-60%,"৳ 1,500",5 Ratings,7 Day Return,,৳ 66,Unstitched Cotton screen Printed Salwar Kameez for Women
No Brand,৳ 940,-52%,"৳ 1,950",No Ratings,7 Day Return,2 Answered Questions,৳ 66,Delhi fashionable Boutique Embroidery Work Three pcs Collection For Women And Girls
No Brand,৳ 379,-74%,"৳ 1,479",19 Ratings,7 Day Return,7 Answered Questions,৳ 66,Japani Silk Exclusive Design Saree for Women - Dark Ash - Sari - Sari - Saree - শাড়ি
No Brand,৳ 450,-70%,"৳ 1,500",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,Tangail half silk jamdani Saree for Women - Sharee For Women - Sari - Sari
No Brand,৳ 640,-54%,"৳ 1,400",2 Ratings,7 Day Return,14 Answered Questions,৳ 66,Latest New Garara Two Piece Dress Collection For Women. - Dress For Girls - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,"৳ 2,375",-41%,"৳ 4,000",1 Ratings,7 Day Return,,Free,Red Embroidery New Georgette Saree + Blouse Piece For Women
No Brand,৳ 530,-56%,"৳ 1,200",57 Ratings,7 Day Return,23 Answered Questions,৳ 66,Yellow Joypuri Cotton Unstitched Skin Print High Quality Three Piece For Women - Three Piece - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 520,-66%,"৳ 1,550",2 Ratings,7 Day Return,,৳ 66,Block Printed Cotton Unstitched Three Piece For Women - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 850,-62%,"৳ 2,250",8 Ratings,7 Day Return,16 Answered Questions,৳ 66,Best Quality Soft Cotton Jamdani Saree With Blouse Piece - Sharee For Women - Sari - Saree - শাড়ি
No Brand,৳ 542,-58%,"৳ 1,298",1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Unstitched Cotton screen Printed Salwar Kameez for Women - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 430,-43%,৳ 750,2 Ratings,7 Day Return,,৳ 66,Fashionable Jhum sari for women-All Colours - Sari - Sari - Saree - শাড়ি
No Brand,৳ 379,-72%,"৳ 1,350",13 Ratings,7 Day Return,8 Answered Questions,৳ 66,Japani Silk Saree for Women Ash
No Brand,৳ 379,-76%,"৳ 1,550",8 Ratings,7 Day Return,2 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - Deep Golden - Sari
No Brand,৳ 750,-52%,"৳ 1,560",15 Ratings,7 Day Return,16 Answered Questions,৳ 66,New Desing Stylish Unstitched  Tissue Embroidery Work Shalwar Kamiz Four Piece (4 Piece)
No Brand,৳ 320,-24%,৳ 420,2 Ratings,7 Day Return,3 Answered Questions,৳ 66,Moslin Than Sarees For Women - Sari - Saree - শাড়ি
